,nameFirst,nameLast,induction_year,allstar_appearances
0,Hank,Aaron,1982,25
1,Willie,Mays,1979,24
2,Stan,Musial,1969,24
3,Mickey,Mantle,1974,20
4,Ted,Williams,1966,19
5,Cal,Ripken,2007,19
6,Al,Kaline,1980,18
7,Carl,Yastrzemski,1989,18
8,Rod,Carew,1991,18
9,Yogi,Berra,1972,18
10,Brooks,Robinson,1983,18
11,Warren,Spahn,1973,17
12,Nellie,Fox,1997,15
13,Ozzie,Smith,2002,15
14,Tony,Gwynn,2007,15
15,Roberto,Clemente,1973,15
16,Reggie,Jackson,1993,14
17,Ernie,Banks,1977,14
18,Frank,Robinson,1982,14
19,Ivan,Rodriguez,2017,14
20,Johnny,Bench,1989,14
21,Ken,Griffey,2016,13
22,Joe,DiMaggio,1955,13
23,Luis,Aparicio,1984,13
24,Harmon,Killebrew,1984,13
25,George,Brett,1999,13
26,Barry,Larkin,2012,12
27,Dave,Winfield,2001,12
28,Mel,Ott,1951,12
29,Roberto,Alomar,2011,12
30,Mike,Schmidt,1995,12
31,Mike,Piazza,2016,12
32,Tom,Seaver,1992,12
33,Wade,Boggs,2005,12
34,Eddie,Mathews,1978,12
35,Bill,Dickey,1954,11
36,Carlton,Fisk,2000,11
37,Gary,Carter,2003,11
38,Orlando,Cepeda,1999,11
39,Steve,Carlton,1994,10
40,Joe,Medwick,1968,10
41,Whitey,Ford,1974,10
42,Juan,Marichal,1983,10
43,Billy,Herman,1975,10
44,Enos,Slaughter,1985,10
45,Randy,Johnson,2015,10
46,Rickey,Henderson,2009,10
47,Tom,Glavine,2014,10
48,Pee Wee,Reese,1984,10
49,Red,Schoendienst,1989,10
50,Joe,Morgan,1990,10
51,George,Kell,1983,10
52,Bill,Mazeroski,2001,10
53,Johnny,Mize,1981,10
54,Ryne,Sandberg,2005,10
55,Kirby,Puckett,2001,10
56,Bob,Gibson,1981,9
57,Jimmie,Foxx,1951,9
58,Bobby,Doerr,1986,9
59,Arky,Vaughan,1985,9
60,Ron,Santo,2012,9
61,Jim,Bunning,1996,9
62,Carl,Hubbell,1947,9
63,Rich,Gossage,2008,9
64,Don,Drysdale,1984,9
65,Joe,Gordon,2009,9
66,Greg,Maddux,2014,8
67,Jim,Rice,2009,8
68,Lou,Boudreau,1970,8
69,John,Smoltz,2015,8
70,Early,Wynn,1972,8
71,Eddie,Murray,2003,8
72,Nolan,Ryan,1999,8
73,Roy,Campanella,1969,8
74,Catfish,Hunter,1987,8
75,Andre,Dawson,2010,8
76,Rick,Ferrell,1984,8
77,Ernie,Lombardi,1986,8
78,Duke,Snider,1980,8
79,Pedro,Martinez,2015,8
80,Bob,Feller,1962,8
81,Hoyt,Wilhelm,1985,8
82,Hal,Newhouser,1992,7
83,Larry,Doby,1998,7
84,Luke,Appling,1964,7
85,Willie,Stargell,1988,7
86,Paul,Molitor,2004,7
87,Craig,Biggio,2015,7
88,Lefty,Gomez,1972,7
89,Rollie,Fingers,1992,7
90,Robin,Roberts,1976,7
91,Tim,Raines,2017,7
92,Lou,Gehrig,1939,7
93,Bob,Lemon,1976,7
94,Joe,Cronin,1956,7
95,Tony,Perez,2000,7
96,Sandy,Koufax,1972,7
97,Dennis,Eckersley,2004,6
98,Billy,Williams,1987,6
99,Bruce,Sutter,2006,6
100,Lefty,Grove,1947,6
101,Jim,Palmer,1990,6
102,Willie,McCovey,1986,6
103,Jackie,Robinson,1962,6
104,Gabby,Hartnett,1955,6
105,Charlie,Gehringer,1949,6
106,Lou,Brock,1985,6
107,Richie,Ashburn,1995,6
108,Red,Ruffing,1967,6
109,Ralph,Kiner,1975,6
110,Earl,Averill,1975,6
111,Phil,Niekro,1997,5
112,Phil,Rizzuto,1994,5
113,Frank,Thomas,2014,5
114,Gaylord,Perry,1991,5
115,Hank,Greenberg,1956,5
116,Dizzy,Dean,1953,4
117,Don,Sutton,1998,4
118,Paul,Waner,1952,4
119,Jeff,Bagwell,2017,4
120,Bill,Terry,1954,3
121,Frankie,Frisch,1947,3
122,Robin,Yount,1999,3
123,Fergie,Jenkins,1991,3
124,Al,Simmons,1953,3
125,Bert,Blyleven,2011,2
126,Chuck,Klein,1980,2
127,Pie,Traynor,1948,2
128,Satchel,Paige,1971,2
129,Mickey,Cochrane,1947,2
130,Babe,Ruth,1936,2
131,Kiki,Cuyler,1968,1
132,Tony,Lazzeri,1991,1
133,Chick,Hafey,1971,1
134,Goose,Goslin,1968,1
135,Heinie,Manush,1964,1
136,Lloyd,Waner,1967,1
137,Monte,Irvin,1973,1
138,Travis,Jackson,1982,1
139,Ted,Lyons,1955,1
140,John,Clarkson,1963,0
141,Harry,Hooper,1971,0
142,Ross,Youngs,1972,0
143,Dave,Bancroft,1971,0
144,Martin,Dihigo,1977,0
145,Biz,Mackey,2006,0
146,Cristobal,Torriente,2006,0
147,Ty,Cobb,1936,0
148,Rogers,Hornsby,1942,0
149,Jake,Beckley,1971,0
150,Hugh,Duffy,1945,0
151,Rabbit,Maranville,1954,0
152,Dazzy,Vance,1955,0
153,Eddie,Collins,1939,0
154,Waite,Hoyt,1969,0
155,Cool Papa,Bell,1974,0
156,Johnny,Evers,1946,0
157,Rube,Marquard,1971,0
158,Rube,Waddell,1946,0
159,Honus,Wagner,1936,0
160,Jimmy,Collins,1945,0
161,Hughie,Jennings,1945,0
162,Edd,Roush,1962,0
163,Chief,Bender,1953,0
164,Buck,Ewing,1939,0
165,Christy,Mathewson,1936,0
166,Tommy,McCarthy,1946,0
167,Bobby,Wallace,1953,0
168,Earle,Combs,1970,0
169,Judy,Johnson,1975,0
170,Amos,Rusie,1977,0
171,Jim,Bottomley,1974,0
172,Red,Faber,1964,0
173,Joe,McGinnity,1946,0
174,Ed,Walsh,1946,0
175,Roger,Connor,1976,0
176,Walter,Johnson,1936,0
177,Louis,Santop,2006,0
178,Roger,Bresnahan,1945,0
179,Elmer,Flick,1963,0
180,Bid,McPhee,2000,0
181,John,Ward,1964,0
182,Addie,Joss,1978,0
183,Ray,Schalk,1955,0
184,Dan,Brouthers,1945,0
185,Bill,Foster,1996,0
186,Jose,Mendez,2006,0
187,Mickey,Welch,1973,0
188,Tim,Keefe,1964,0
189,Joe,Sewell,1977,0
190,Mordecai,Brown,1949,0
191,Pud,Galvin,1965,0
192,Josh,Gibson,1972,0
193,Kid,Nichols,1949,0
194,Willie,Wells,1997,0
195,Willie,Keeler,1939,0
196,George,Sisler,1939,0
197,Ray,Brown,2006,0
198,Willard,Brown,2006,0
199,Frank,Grant,2006,0
200,Jim,O'Rourke,1945,0
201,Zack,Wheat,1959,0
202,Andy,Cooper,2006,0
203,Joe,Kelley,1971,0
204,Hilton,Smith,2001,0
205,Jesse,Burkett,1946,0
206,Clark,Griffith,1946,0
207,Herb,Pennock,1948,0
208,Deacon,White,2013,0
209,Stan,Coveleski,1969,0
210,High Pockets,Kelly,1973,0
211,Tris,Speaker,1937,0
212,Max,Carey,1961,0
213,Burleigh,Grimes,1964,0
214,Eddie,Plank,1946,0
215,Smokey Joe,Williams,1999,0
216,Sam,Crawford,1957,0
217,King,Kelly,1945,0
218,Turkey,Stearnes,2000,0
219,Frank,Chance,1946,0
220,Jesse,Haines,1970,0
221,Old Hoss,Radbourn,1939,0
222,Vic,Willis,1995,0
223,Ray,Dandridge,1987,0
224,Nap,Lajoie,1937,0
225,Mule,Suttles,2006,0
226,Oscar,Charleston,1976,0
227,Billy,Hamilton,1961,0
228,Sam,Rice,1963,0
229,Hack,Wilson,1979,0
230,Pete,Alexander,1938,0
231,George,Davis,1998,0
232,Buck,Leonard,1972,0
233,Ben,Taylor,2006,0
234,Jack,Chesbro,1946,0
235,Harry,Heilmann,1952,0
236,Eppa,Rixey,1963,0
237,Jud,Wilson,2006,0
238,Cap,Anson,1939,0
239,Leon,Day,1995,0
240,Freddie,Lindstrom,1976,0
241,Sam,Thompson,1974,0
242,Fred,Clarke,1945,0
243,Pete,Hill,2006,0
244,Bullet,Rogan,1998,0
245,Cy,Young,1937,0
246,Home Run,Baker,1955,0
247,Ed,Delahanty,1945,0
248,Pop,Lloyd,1977,0
249,Joe,Tinker,1946,0
